===Round 1A 2019===
The top 1500 contestants in this round will advance to Round 2.
number of participants: 8431

{1} Pylons
 [1]  0pt visible    ?/5722
 [2]  8pt visible 3136/5722
 [3] 23pt  hidden  889/5722
{2} Alien Rhyme
 [1]  0pt visible    ?/5822
 [2] 10pt visible 3356/5822
 [3] 27pt  hidden 2105/5822
{3} Golf Gophers
 [1] 11pt visible 1834/2447
 [2] 21pt  hidden 1051/2447

3671           kelvinc1024 Indonesia  10pt 1:23:52 | 0:00:00 2/0 ___ | 1:23:52 1/0 A__ |       -     -  -
3766         folcotandiono Indonesia  10pt 1:45:47 | 0:00:00 2/0 ___ | 1:37:47 3/2 A__ |       -     -  -
3914           fikriauliya Indonesia  10pt 2:20:38 |       -   -   - | 2:20:38 1/0 A__ |       -     -  -
3986                Roslyn Indonesia   8pt 0:24:16 | 0:24:16 2/0 A__ | 0:00:00 3/0 ___ |       -     -  -
4126                afrite Indonesia   8pt 0:57:10 | 0:57:10 1/0 A__ | 0:00:00 3/0 ___ |       -     -  -
4149         sheinnayendri Indonesia   8pt 1:00:07 | 1:00:07 1/0 A__ | 0:00:00 3/0 ___ |       -     -  -
4189          Feliciahalim Indonesia   8pt 1:05:11 | 1:05:11 1/0 A__ |       -   -   - |       -     -  -
4302                  RC's Indonesia   8pt 1:21:17 | 1:01:17 6/5 A__ |       -   -   - |       -     -  -
4356              Norman.W Indonesia   8pt 1:29:14 | 1:29:14 2/0 A__ |       -   -   - | 0:00:00   2/0 __
4358            HendriWang Indonesia   8pt 1:29:28 | 1:29:28 1/0 A__ |       -   -   - |       -     -  -
4372                Dreuia Indonesia   8pt 1:30:31 | 1:22:31 3/2 A__ |       -   -   - |       -     -  -
4385              Firastic Indonesia   8pt 1:31:58 | 1:27:58 4/1 A__ |       -   -   - |       -     -  -
4574                dieend Indonesia   8pt 2:01:13 | 2:01:13 1/0 A__ | 0:00:00 1/0 ___ |       -     -  -
4719        nandonathaniel Indonesia   8pt 2:19:12 | 2:19:12 1/0 A__ | 0:00:00 2/0 ___ |       -     -  -
4830        hadisiswanto62 Indonesia   0pt 0:00:00 | 0:00:00 1/0 ___ |       -   -   - |       -     -  -
4830             Hansen111 Indonesia   0pt 0:00:00 |       -   -   - | 0:00:00 2/0 ___ |       -     -  -
4830                   r.i Indonesia   0pt 0:00:00 |       -   -   - | 0:00:00 1/0 ___ |       -     -  -
4830             ZenithINA Indonesia   0pt 0:00:00 | 0:00:00 5/0 ___ |       -   -   - |       -     -  -
4830         vincentalfred Indonesia   0pt 0:00:00 | 0:00:00 4/0 ___ | 0:00:00 2/0 ___ |       -     -  -
4830                tesAja Indonesia   0pt 0:00:00 | 0:00:00 5/0 ___ |       -   -   - |       -     -  -
4830            andrewdudu Indonesia   0pt 0:00:00 |       -   -   - | 0:00:00 1/0 ___ |       -     -  -
4830              dwiyanrp Indonesia   0pt 0:00:00 | 0:00:00 2/0 ___ |       -   -   - |       -     -  -
4830        masamune.kenji Indonesia   0pt 0:00:00 | 0:00:00 1/0 ___ |       -   -   - |       -     -  -
4830              Owmicron Indonesia   0pt 0:00:00 |       -   -   - | 0:00:00 7/0 ___ |       -     -  -
4830              cekathan Indonesia   0pt 0:00:00 | 0:00:00 7/0 ___ |       -   -   - |       -     -  -
4830                  ntoa Indonesia   0pt 0:00:00 | 0:00:00 3/0 ___ |       -   -   - |       -     -  -
4830    thariq_nugrohotomo Indonesia   0pt 0:00:00 |       -   -   - |       -   -   - | 0:00:00   2/0 __
4830          chensienyong Indonesia   0pt 0:00:00 |       -   -   - | 0:00:00 1/0 ___ |       -     -  -
4830              TheChief Indonesia   0pt 0:00:00 | 0:00:00 1/0 ___ |       -   -   - |       -     -  -
4830                     ? Indonesia   0pt 0:00:00 | 0:00:00 5/0 ___ |       -   -   - |       -     -  -
4830                 ashpx Indonesia   0pt 0:00:00 | 0:00:00 2/0 ___ |       -   -   - |       -     -  -
4830            eugene.yeo Indonesia   0pt 0:00:00 | 0:00:00 3/0 ___ |       -   -   - |       -     -  -
4830          stephantommy Indonesia   0pt 0:00:00 | 0:00:00 1/0 ___ |       -   -   - |       -     -  -
4830               jackyef Indonesia   0pt 0:00:00 |       -   -   - | 0:00:00 2/0 ___ |       -     -  -
4830                 rl404 Indonesia   0pt 0:00:00 | 0:00:00 2/0 ___ |       -   -   - |       -     -  -
4830                vianra Indonesia   0pt 0:00:00 | 0:00:00 2/0 ___ | 0:00:00 3/0 ___ |       -     -  -
4830 radiva.hera@gmail.com Indonesia   0pt 0:00:00 |       -   -   - | 0:00:00 2/0 ___ |       -     -  -
4830              fakhrusy Indonesia   0pt 0:00:00 |       -   -   - | 0:00:00 3/0 ___ |       -     -  -
4830              surker23 Indonesia   0pt 0:00:00 |       -   -   - |       -   -   - | 0:00:00   5/0 __
4830              nugrahaa Indonesia   0pt 0:00:00 |       -   -   - | 0:00:00 1/0 ___ |       -     -  -
4830           moondemon68 Indonesia   0pt 0:00:00 |       -   -   - | 0:00:00 1/0 ___ |       -     -  -
4830                Clapie Indonesia   0pt 0:00:00 | 0:00:00 1/0 ___ | 0:00:00 2/0 ___ |       -     -  -
4830                  rawr Indonesia   0pt 0:00:00 |       -   -   - | 0:00:00 2/0 ___ |       -     -  -
4830             JFernando Indonesia   0pt 0:00:00 |       -   -   - | 0:00:00 2/0 ___ |       -     -  -
4830            bengeordie Indonesia   0pt 0:00:00 |       -   -   - | 0:00:00 2/0 ___ |       -     -  -
4830                 Henbx Indonesia   0pt 0:00:00 | 0:00:00 1/0 ___ |       -   -   - |       -     -  -
4830            Yobelioe17 Indonesia   0pt 0:00:00 | 0:00:00 1/0 ___ |       -   -   - |       -     -  -
4830            indraazimi Indonesia   0pt 0:00:00 |       -   -   - | 0:00:00 2/0 ___ |       -     -  -
4830             Tobiaswhy Indonesia   0pt 0:00:00 |       -   -   - | 0:00:00 3/0 ___ |       -     -  -
4830                Gilang Indonesia   0pt 0:00:00 |       -   -   - | 0:00:00 2/0 ___ |       -     -  -
4830         michaellimair Indonesia   0pt 0:00:00 |       -   -   - | 0:00:00 4/0 ___ |       -     -  -
4830            SpitfireRD Indonesia   0pt 0:00:00 | 0:00:00 3/0 ___ |       -   -   - |       -     -  -
4830          danieladrian Indonesia   0pt 0:00:00 | 0:00:00 2/0 ___ |       -   -   - |       -     -  -
4830              Benedick Indonesia   0pt 0:00:00 |       -   -   - | 0:00:00 5/0 ___ |       -     -  -
4830           meowingtons Indonesia   0pt 0:00:00 |       -   -   - | 0:00:00 1/0 ___ |       -     -  -
4830                eighty Indonesia   0pt 0:00:00 | 0:00:00 3/0 ___ |       -   -   - |       -     -  -
4830                   ya_ Indonesia   0pt 0:00:00 |       -   -   - |       -   -   - | 0:00:00   3/0 __
4830           david_zheng Indonesia   0pt 0:00:00 | 0:00:00 8/0 ___ |       -   -   - |       -     -  -
